epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8551701083579588,0.29115281501340484,2.2932351279795617,0.1743119266055046
2,1.6296362443946109,0.4094727435210009,1.7482302967362646,0.34612176814011675
3,1.5147321405530083,0.459159964253798,1.4964852116324685,0.4628857381150959
4,1.4477526016806364,0.4906166219839142,1.8319408849838676,0.36363636363636365
5,1.39827783968536,0.5093833780160858,1.7387510598749791,0.3869891576313595
6,1.3789224433728475,0.5106344950848972,1.6500723906812118,0.40450375312760634
7,1.3519717701212224,0.532975871313673,1.8527429136661215,0.3811509591326105
8,1.3356190323936183,0.5376228775692583,1.4499230748718237,0.4653878231859883
9,1.3112628930588723,0.5378016085790884,1.7557968233305778,0.41201000834028356
10,1.2841917709754556,0.5544235924932975,1.6658718739080867,0.41451209341117595
