epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7392295904760466,0.504259820458574,2.352485779891528,0.35138740661686235
2,1.5745025182426047,0.5653839556292527,1.6022903524824241,0.5432230522945571
3,1.506458501967389,0.5892846932357482,1.5518719825571603,0.5637673425827108
4,1.462302201423632,0.6085539481960089,1.435086845588277,0.6005869797225186
5,1.4217342100732901,0.6236491508948482,1.6317372585437087,0.5557630736392742
6,1.397200140974058,0.6252501572416947,1.3666771571435186,0.6259338313767343
7,1.3656204027693066,0.6438904454228372,1.5628276945051032,0.5618996798292423
8,1.350852495885521,0.6452055577791754,1.3910897911676348,0.6283351120597652
9,1.3222702741077625,0.6550403110526617,1.3262787483545098,0.6491462113127001
10,1.2965093054338728,0.661958945622963,1.4249317878847316,0.605923159018143
11,1.2703256183698755,0.6713934473097376,1.4557227752506414,0.5939167556029883
12,1.2487524474994267,0.6803705186116987,1.4075367211532186,0.6302027748132337
13,1.2282839738468587,0.6891188747212533,1.3766379874187702,0.6312700106723586
14,1.2022953778258236,0.6944936817428098,1.4280368191455446,0.6189967982924226
15,1.177533653678231,0.703642289439076,1.4559563614642734,0.624332977588047
