representation,query_genre,retrieved_genre,fraction
handcrafted_full,Folk,Jazz,0.03596491366624832
handcrafted_full,Folk,Old-Time / Historic,0.004824561532586813
handcrafted_full,Folk,Pop,0.04868420958518982
handcrafted_full,Folk,Rock,0.1570175439119339
handcrafted_full,Folk,Soul-RnB,0.003947368357330561
handcrafted_full,Folk,Spoken,0.003508772002533078
handcrafted_full,Hip-Hop,Blues,0.00030395135399885476
handcrafted_full,Hip-Hop,Classical,0.00030395135399885476
handcrafted_full,Hip-Hop,Country,0.0018237081822007895
handcrafted_full,Hip-Hop,Easy Listening,0.0015197568573057652
handcrafted_full,Hip-Hop,Electronic,0.262613981962204
handcrafted_full,Hip-Hop,Experimental,0.021884499117732048
handcrafted_full,Hip-Hop,Folk,0.016109421849250793
handcrafted_full,Hip-Hop,Hip-Hop,0.5200607776641846
handcrafted_full,Hip-Hop,Instrumental,0.00881459005177021
handcrafted_full,Hip-Hop,International,0.03738601878285408
handcrafted_full,Hip-Hop,Jazz,0.007598784286528826
handcrafted_full,Hip-Hop,Old-Time / Historic,0.0
handcrafted_full,Hip-Hop,Pop,0.03495440632104874
handcrafted_full,Hip-Hop,Rock,0.06960486620664597
handcrafted_full,Hip-Hop,Soul-RnB,0.010942249558866024
handcrafted_full,Hip-Hop,Spoken,0.006079027429223061
handcrafted_full,Instrumental,Blues,0.002475247485563159
handcrafted_full,Instrumental,Classical,0.10297029465436935
handcrafted_full,Instrumental,Country,0.007920792326331139
handcrafted_full,Instrumental,Easy Listening,0.0004950495203956962
handcrafted_full,Instrumental,Electronic,0.14504951238632202
handcrafted_full,Instrumental,Experimental,0.11534653604030609
handcrafted_full,Instrumental,Folk,0.1074257418513298
handcrafted_full,Instrumental,Hip-Hop,0.02128712832927704
handcrafted_full,Instrumental,Instrumental,0.21287128329277039
handcrafted_full,Instrumental,International,0.039603959769010544
handcrafted_full,Instrumental,Jazz,0.0356435626745224
handcrafted_full,Instrumental,Old-Time / Historic,0.014851485379040241
handcrafted_full,Instrumental,Pop,0.03465346619486809
handcrafted_full,Instrumental,Rock,0.15445543825626373
handcrafted_full,Instrumental,Soul-RnB,0.002970297122374177
handcrafted_full,Instrumental,Spoken,0.0019801980815827847
handcrafted_full,International,Blues,0.003921568859368563
handcrafted_full,International,Classical,0.024183006957173347
handcrafted_full,International,Country,0.02222222276031971
handcrafted_full,International,Easy Listening,0.0013071895809844136
handcrafted_full,International,Electronic,0.14575164020061493
handcrafted_full,International,Experimental,0.04313725605607033
handcrafted_full,International,Folk,0.062745101749897
handcrafted_full,International,Hip-Hop,0.08888889104127884
handcrafted_full,International,Instrumental,0.024183006957173347
handcrafted_full,International,International,0.33986929059028625
handcrafted_full,International,Jazz,0.03529411926865578
handcrafted_full,International,Old-Time / Historic,0.0026143791619688272
handcrafted_full,International,Pop,0.0470588244497776
handcrafted_full,International,Rock,0.1483660191297531
handcrafted_full,International,Soul-RnB,0.003921568859368563
handcrafted_full,International,Spoken,0.006535947788506746
handcrafted_full,Jazz,Blues,0.006896551698446274
handcrafted_full,Jazz,Classical,0.0913793072104454
handcrafted_full,Jazz,Country,0.02931034564971924
handcrafted_full,Jazz,Easy Listening,0.0
handcrafted_full,Jazz,Electronic,0.1465517282485962
handcrafted_full,Jazz,Experimental,0.06896551698446274
handcrafted_full,Jazz,Folk,0.08620689809322357
handcrafted_full,Jazz,Hip-Hop,0.02931034564971924
handcrafted_full,Jazz,Instrumental,0.07068965584039688
handcrafted_full,Jazz,International,0.0672413781285286
handcrafted_full,Jazz,Jazz,0.14482758939266205
handcrafted_full,Jazz,Old-Time / Historic,0.005172413773834705
handcrafted_full,Jazz,Pop,0.05517241358757019
handcrafted_full,Jazz,Rock,0.18103447556495667
handcrafted_full,Jazz,Soul-RnB,0.008620689623057842
handcrafted_full,Jazz,Spoken,0.008620689623057842
handcrafted_full,Old-Time / Historic,Blues,0.0013157895300537348
handcrafted_full,Old-Time / Historic,Classical,0.01315789483487606
handcrafted_full,Old-Time / Historic,Country,0.0013157895300537348
handcrafted_full,Old-Time / Historic,Easy Listening,0.0
handcrafted_full,Old-Time / Historic,Electronic,0.0026315790601074696
handcrafted_full,Old-Time / Historic,Experimental,0.007894736714661121
handcrafted_full,Old-Time / Historic,Folk,0.0013157895300537348
handcrafted_full,Old-Time / Historic,Hip-Hop,0.0
handcrafted_full,Old-Time / Historic,Instrumental,0.003947368357330561
handcrafted_full,Old-Time / Historic,International,0.02368421107530594
handcrafted_full,Old-Time / Historic,Jazz,0.003947368357330561
handcrafted_full,Old-Time / Historic,Old-Time / Historic,0.9276315569877625
handcrafted_full,Old-Time / Historic,Pop,0.003947368357330561
handcrafted_full,Old-Time / Historic,Rock,0.009210526011884212
handcrafted_full,Old-Time / Historic,Soul-RnB,0.0
handcrafted_full,Old-Time / Historic,Spoken,0.0
handcrafted_full,Pop,Blues,0.001123595517128706
handcrafted_full,Pop,Classical,0.01123595517128706
handcrafted_full,Pop,Country,0.018539326265454292
handcrafted_full,Pop,Easy Listening,0.004494382068514824
handcrafted_full,Pop,Electronic,0.22528089582920074
handcrafted_full,Pop,Experimental,0.06516853719949722
handcrafted_full,Pop,Folk,0.09325842559337616
handcrafted_full,Pop,Hip-Hop,0.10168538987636566
handcrafted_full,Pop,Instrumental,0.03988764062523842
handcrafted_full,Pop,International,0.04438202083110809
handcrafted_full,Pop,Jazz,0.016292134299874306
handcrafted_full,Pop,Old-Time / Historic,0.007303370628505945
handcrafted_full,Pop,Pop,0.09719101339578629
handcrafted_full,Pop,Rock,0.2606741487979889
handcrafted_full,Pop,Soul-RnB,0.006179775111377239
handcrafted_full,Pop,Spoken,0.007303370628505945
handcrafted_full,Rock,Blues,0.0015962441684678197
handcrafted_full,Rock,Classical,0.0034741784911602736
handcrafted_full,Rock,Country,0.01474178396165371
handcrafted_full,Rock,Easy Listening,0.0001877934264484793
handcrafted_full,Rock,Electronic,0.08938967436552048
handcrafted_full,Rock,Experimental,0.030516432598233223
handcrafted_full,Rock,Folk,0.029671361669898033
handcrafted_full,Rock,Hip-Hop,0.02281690202653408
handcrafted_full,Rock,Instrumental,0.02328638546168804
handcrafted_full,Rock,International,0.022065727040171623
handcrafted_full,Rock,Jazz,0.00882629118859768
handcrafted_full,Rock,Old-Time / Historic,0.0010328638600185513
handcrafted_full,Rock,Pop,0.04206572845578194
handcrafted_full,Rock,Rock,0.7047887444496155
handcrafted_full,Rock,Soul-RnB,0.0037558686453849077
handcrafted_full,Rock,Spoken,0.0017840375658124685
handcrafted_full,Soul-RnB,Blues,0.0
handcrafted_full,Soul-RnB,Classical,0.0
handcrafted_full,Soul-RnB,Country,0.03913043439388275
handcrafted_full,Soul-RnB,Easy Listening,0.0
handcrafted_full,Soul-RnB,Electronic,0.291304349899292
handcrafted_full,Soul-RnB,Experimental,0.021739130839705467
handcrafted_full,Soul-RnB,Folk,0.017391303554177284
handcrafted_full,Soul-RnB,Hip-Hop,0.11739130318164825
handcrafted_full,Soul-RnB,Instrumental,0.03478260710835457
handcrafted_full,Soul-RnB,International,0.0260869562625885
handcrafted_full,Soul-RnB,Jazz,0.008695651777088642
handcrafted_full,Soul-RnB,Old-Time / Historic,0.0
handcrafted_full,Soul-RnB,Pop,0.03913043439388275
handcrafted_full,Soul-RnB,Rock,0.33478260040283203
handcrafted_full,Soul-RnB,Soul-RnB,0.06956521421670914
handcrafted_full,Soul-RnB,Spoken,0.0
handcrafted_full,Spoken,Blues,0.0
handcrafted_full,Spoken,Classical,0.011111111380159855
handcrafted_full,Spoken,Country,0.0
handcrafted_full,Spoken,Easy Listening,0.0
handcrafted_full,Spoken,Electronic,0.05000000074505806
handcrafted_full,Spoken,Experimental,0.10000000149011612
handcrafted_full,Spoken,Folk,0.06666667014360428
handcrafted_full,Spoken,Hip-Hop,0.03333333507180214
handcrafted_full,Spoken,Instrumental,0.02222222276031971
handcrafted_full,Spoken,International,0.07777778059244156
handcrafted_full,Spoken,Jazz,0.0055555556900799274
handcrafted_full,Spoken,Old-Time / Historic,0.0055555556900799274
handcrafted_full,Spoken,Pop,0.02222222276031971
handcrafted_full,Spoken,Rock,0.1388888955116272
handcrafted_full,Spoken,Soul-RnB,0.0055555556900799274
handcrafted_full,Spoken,Spoken,0.4611110985279083
cnn_resnet_medium,Blues,Blues,0.027272727340459824
cnn_resnet_medium,Blues,Classical,0.00909090880304575
cnn_resnet_medium,Blues,Country,0.04545454680919647
cnn_resnet_medium,Blues,Easy Listening,0.0
cnn_resnet_medium,Blues,Electronic,0.00909090880304575
cnn_resnet_medium,Blues,Experimental,0.027272727340459824
cnn_resnet_medium,Blues,Folk,0.05454545468091965
cnn_resnet_medium,Blues,Hip-Hop,0.027272727340459824
cnn_resnet_medium,Blues,Instrumental,0.072727270424366
cnn_resnet_medium,Blues,International,0.16363635659217834
cnn_resnet_medium,Blues,Jazz,0.00909090880304575
cnn_resnet_medium,Blues,Old-Time / Historic,0.0
cnn_resnet_medium,Blues,Pop,0.08181817829608917
cnn_resnet_medium,Blues,Rock,0.4363636374473572
